id_pessoa,habilidades_de_comunicacao,extroversao,amabilidade,conversacao
0,40.0,47.0876568,3.9610646,8.692673600000001
1,40.0,37.758143700000005,9.0147592,7.1425106000000005
2,40.0,34.7738516,13.8574524,9.526072300000001
3,40.0,40.3756266,11.4924704,12.2655795
4,40.0,24.033706199999997,5.098773899999999,6.5563884
5,40.0,24.6463415,4.1291977,4.6333164
6,50.0,21.4351242,3.8801004,5.828782400000001
7,50.0,47.0876568,3.9610646,8.692673600000001
8,50.0,37.758143700000005,9.0147592,7.1425106000000005
9,50.0,34.7738516,13.8574524,9.526072300000001
10,50.0,40.3756266,11.4924704,12.2655795
11,50.0,24.033706199999997,5.098773899999999,6.5563884
12,10.0,24.6463415,4.1291977,4.6333164
13,10.0,21.4351242,3.8801004,5.828782400000001
14,10.0,47.0876568,3.9610646,8.692673600000001
15,10.0,37.758143700000005,9.0147592,7.1425106000000005
16,10.0,34.7738516,13.8574524,9.526072300000001
17,10.0,40.3756266,11.4924704,12.2655795
18,0.0,24.033706199999997,5.098773899999999,6.5563884
19,0.0,24.6463415,4.1291977,4.6333164
20,0.0,21.4351242,3.8801004,5.828782400000001
21,0.0,47.0876568,3.9610646,8.692673600000001
22,0.0,37.758143700000005,9.0147592,7.1425106000000005
23,0.0,34.7738516,13.8574524,9.526072300000001
24,30.0,40.3756266,11.4924704,12.2655795
25,30.0,24.033706199999997,5.098773899999999,6.5563884
26,30.0,24.6463415,4.1291977,4.6333164
27,30.0,21.4351242,3.8801004,5.828782400000001
28,30.0,47.0876568,3.9610646,8.692673600000001
29,30.0,37.758143700000005,9.0147592,7.1425106000000005
30,20.0,34.7738516,13.8574524,9.526072300000001
31,20.0,40.3756266,11.4924704,12.2655795
32,20.0,24.033706199999997,5.098773899999999,6.5563884
33,20.0,24.6463415,4.1291977,4.6333164
34,20.0,21.4351242,3.8801004,5.828782400000001
35,20.0,47.0876568,3.9610646,8.692673600000001
36,40.0,37.758143700000005,9.0147592,7.1425106000000005
37,40.0,34.7738516,13.8574524,9.526072300000001
38,40.0,40.3756266,11.4924704,12.2655795
39,40.0,24.033706199999997,5.098773899999999,6.5563884
40,40.0,24.6463415,4.1291977,4.6333164
41,40.0,21.4351242,3.8801004,5.828782400000001
42,50.0,47.0876568,3.9610646,8.692673600000001
43,50.0,37.758143700000005,9.0147592,7.1425106000000005
44,50.0,34.7738516,13.8574524,9.526072300000001
45,50.0,40.3756266,11.4924704,12.2655795
46,50.0,24.033706199999997,5.098773899999999,6.5563884
47,50.0,24.6463415,4.1291977,4.6333164
48,10.0,21.4351242,3.8801004,5.828782400000001
49,10.0,47.0876568,3.9610646,8.692673600000001
