id_pessoa,estabilidade_emocional,abertura_a_mudanca,autoaperfeicoamento,autotranscendencia,area_carreira
0,74.2567413,33.9776151,23.051807699999998,20.8745599,infraestrutura_e_dados
1,67.2545513,35.3677599,24.7431686,19.6423545,infraestrutura_e_dados
2,63.0705007,37.512498,28.725344600000003,26.802442,infraestrutura_e_dados
3,69.5279717,33.8898893,30.6562151,25.8119442,infraestrutura_e_dados
4,61.9389506,31.189646999999997,30.297788799999996,20.7287203,infraestrutura_e_dados
5,62.4139191,33.6220882,31.2115957,21.969006999999998,infraestrutura_e_dados
6,65.9069353,29.6101878,30.875233899999998,21.1388677,infraestrutura_e_dados
7,74.2567413,33.9776151,23.051807699999998,20.8745599,infraestrutura_e_dados
8,67.2545513,35.3677599,24.7431686,19.6423545,infraestrutura_e_dados
9,63.0705007,37.512498,28.725344600000003,26.802442,infraestrutura_e_dados
10,69.5279717,33.8898893,30.6562151,25.8119442,infraestrutura_e_dados
11,61.9389506,31.189646999999997,30.297788799999996,20.7287203,infraestrutura_e_dados
12,62.4139191,33.6220882,31.2115957,21.969006999999998,infraestrutura_e_dados
13,65.9069353,29.6101878,30.875233899999998,21.1388677,infraestrutura_e_dados
14,74.2567413,33.9776151,23.051807699999998,20.8745599,infraestrutura_e_dados
15,67.2545513,35.3677599,24.7431686,19.6423545,infraestrutura_e_dados
16,63.0705007,37.512498,28.725344600000003,26.802442,infraestrutura_e_dados
17,69.5279717,33.8898893,30.6562151,25.8119442,infraestrutura_e_dados
18,61.9389506,31.189646999999997,30.297788799999996,20.7287203,infraestrutura_e_dados
19,62.4139191,33.6220882,31.2115957,21.969006999999998,infraestrutura_e_dados
20,65.9069353,29.6101878,30.875233899999998,21.1388677,infraestrutura_e_dados
21,74.2567413,33.9776151,23.051807699999998,20.8745599,infraestrutura_e_dados
22,67.2545513,35.3677599,24.7431686,19.6423545,infraestrutura_e_dados
23,63.0705007,37.512498,28.725344600000003,26.802442,infraestrutura_e_dados
24,69.5279717,33.8898893,30.6562151,25.8119442,infraestrutura_e_dados
25,61.9389506,31.189646999999997,30.297788799999996,20.7287203,infraestrutura_e_dados
26,62.4139191,33.6220882,31.2115957,21.969006999999998,infraestrutura_e_dados
27,65.9069353,29.6101878,30.875233899999998,21.1388677,infraestrutura_e_dados
28,74.2567413,33.9776151,23.051807699999998,20.8745599,infraestrutura_e_dados
29,67.2545513,35.3677599,24.7431686,19.6423545,infraestrutura_e_dados
30,63.0705007,37.512498,28.725344600000003,26.802442,infraestrutura_e_dados
31,69.5279717,33.8898893,30.6562151,25.8119442,infraestrutura_e_dados
32,61.9389506,31.189646999999997,30.297788799999996,20.7287203,infraestrutura_e_dados
33,62.4139191,33.6220882,31.2115957,21.969006999999998,infraestrutura_e_dados
34,65.9069353,29.6101878,30.875233899999998,21.1388677,infraestrutura_e_dados
35,74.2567413,33.9776151,23.051807699999998,20.8745599,infraestrutura_e_dados
36,67.2545513,35.3677599,24.7431686,19.6423545,infraestrutura_e_dados
37,63.0705007,37.512498,28.725344600000003,26.802442,infraestrutura_e_dados
38,69.5279717,33.8898893,30.6562151,25.8119442,infraestrutura_e_dados
39,61.9389506,31.189646999999997,30.297788799999996,20.7287203,infraestrutura_e_dados
40,62.4139191,33.6220882,31.2115957,21.969006999999998,infraestrutura_e_dados
41,65.9069353,29.6101878,30.875233899999998,21.1388677,infraestrutura_e_dados
42,74.2567413,33.9776151,23.051807699999998,20.8745599,infraestrutura_e_dados
43,67.2545513,35.3677599,24.7431686,19.6423545,infraestrutura_e_dados
44,63.0705007,37.512498,28.725344600000003,26.802442,infraestrutura_e_dados
45,69.5279717,33.8898893,30.6562151,25.8119442,infraestrutura_e_dados
46,61.9389506,31.189646999999997,30.297788799999996,20.7287203,infraestrutura_e_dados
47,62.4139191,33.6220882,31.2115957,21.969006999999998,infraestrutura_e_dados
48,65.9069353,29.6101878,30.875233899999998,21.1388677,infraestrutura_e_dados
